claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A10Q1TJDW26M30,6,4,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A2YHLPK2DKQRCL,6,5,4,,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A2D9CD4ELPYVUA,3,5,4,GENDER: Men; GENDER: Women; SEXUAL ORIENTATION: LGBTQ,4
Apples are a type of fruit.,public.us-east-1.A2VTNO389Z7GZZ,6,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Apples are a type of fruit.,public.us-east-1.A10X6FEDISRRB1,5,5,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A2DBPQCHNR30EU,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Apples are a type of fruit.,public.us-east-1.A2RRRIDXT8IC1Z,6,4,5,NONE,5
Apples are a type of fruit.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Apples are a type of fruit.,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Apples are a type of fruit.,public.us-east-1.A2YHLPK2DKQRCL,5,5,3,,3
Apples are a type of fruit.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
Apples are a type of fruit.,public.us-east-1.A14NGT8WVKVENT,6,4,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1GBNQ1TUL5ZLL,4,4,4,RACE: African American,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1V5E8U7EGX5KZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A29HA5NCDKNN5U,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3OUKGS8BDB2I4,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3AAJIOULPV12E,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A19BG3DNCB8371,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.AW0CTE2B06BWI,3,3,3,NONE,2
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A3AAJIOULPV12E,3,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.AUVBBPEQIRHK3,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A30E6TB3PNFRI3,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A19OW01UZETDXL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2PIU9D1SJBXUD,3,4,3,NONE,3
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2DBPQCHNR30EU,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A3UMDBK39LN29J,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,3
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2C8IESKZ6MSNF,3,4,5,,5
Water is a liquid at room temperature.,public.us-east-1.A3N5ZEB7VBLTXO,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Water is a liquid at room temperature.,public.us-east-1.A2DBPQCHNR30EU,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Water is a liquid at room temperature.,public.us-east-1.A2D8U77XWH40I4,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Water is a liquid at room temperature.,public.us-east-1.A2C8IESKZ6MSNF,4,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Water is a liquid at room temperature.,public.us-east-1.A1V5E8U7EGX5KZ,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
Water is a liquid at room temperature.,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Water is a liquid at room temperature.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
Water is a liquid at room temperature.,public.us-east-1.A17PYKQUQH830K,1,1,1,NONE,2
Water is a liquid at room temperature.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A29HA5NCDKNN5U,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2D8U77XWH40I4,5,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2VTNO389Z7GZZ,5,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A3JGB3OMTOWR6I,6,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A21X60VQIDZU4D,5,5,5,GENDER: Transgender / Non-binary; SEXUAL ORIENTATION: LGBTQ,4
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A2AYCZZ1IHNJNF,4,3,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A2PIU9D1SJBXUD,4,4,4,NONE,3
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A3JGB3OMTOWR6I,3,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A19BG3DNCB8371,5,5,1,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A19OW01UZETDXL,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.ANIXYYFREZVH,6,6,4,NONE,2
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.AW0CTE2B06BWI,3,3,2,NONE,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A135P8F6U7GTED,5,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A21X60VQIDZU4D,5,6,6,RACE: African American,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A34ZAOC90XFXLR,5,2,5,NONE,3
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A2YHLPK2DKQRCL,4,4,5,NONE,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3HJ1RFM8ZYNGZ,6,4,6,RACE: African American,6
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3AAJIOULPV12E,3,4,5,GENDER: Women; RACE: White,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.AW0CTE2B06BWI,3,4,3,NONE,4
You’ll never be able to have children if you have an abortion.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
You’ll never be able to have children if you have an abortion.,public.us-east-1.A2VTNO389Z7GZZ,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
You’ll never be able to have children if you have an abortion.,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
You’ll never be able to have children if you have an abortion.,public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
You’ll never be able to have children if you have an abortion.,public.us-east-1.A34ZAOC90XFXLR,6,5,3,NONE,3
You’ll never be able to have children if you have an abortion.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
You’ll never be able to have children if you have an abortion.,public.us-east-1.A21X60VQIDZU4D,5,5,6,GENDER: Women,6
You’ll never be able to have children if you have an abortion.,public.us-east-1.A2D9CD4ELPYVUA,3,5,3,GENDER: Men; GENDER: Women; SEXUAL ORIENTATION: LGBTQ,4
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A3N5ZEB7VBLTXO,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1E7VDDO8OPXNG,2,5,5,NONE,3
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,,5
